Airport,dest_airport_count,dest_airport_percent,origin_airport_count,origin_airport_percent,total_airport_count,total_airport_percent
ORD,17703,5.15,20197,5.88,37900,5.52
ATL,14188,4.13,15271,4.45,29459,4.29
DFW,13013,3.79,15049,4.38,28062,4.09
DEN,11620,3.38,13137,3.82,24757,3.6
LAX,10828,3.15,10296,3.0,21124,3.08
CLT,10120,2.95,12261,3.57,22381,3.26
SEA,9168,2.67,8493,2.47,17661,2.57
SFO,8816,2.57,8329,2.42,17145,2.5
EWR,8807,2.56,8034,2.34,16841,2.45
PHX,7952,2.32,7871,2.29,15823,2.3
LGA,7886,2.3,7492,2.18,15378,2.24
IAH,7780,2.27,7691,2.24,15471,2.25
LAS,7413,2.16,7354,2.14,14767,2.15
BOS,6969,2.03,6690,1.95,13659,1.99
MCO,6354,1.85,6403,1.86,12757,1.86
DTW,6334,1.84,6773,1.97,13107,1.91
PHL,6282,1.83,6817,1.98,13099,1.91
DCA,6030,1.76,6091,1.77,12121,1.76
MSP,5930,1.73,5784,1.68,11714,1.71
JFK,5433,1.58,5082,1.48,10515,1.53
FLL,4644,1.35,4651,1.35,9295,1.35
SLC,4626,1.35,4362,1.27,8988,1.31
SAN,4250,1.24,4124,1.2,8374,1.22
BWI,4178,1.22,4557,1.33,8735,1.27
IAD,3815,1.11,3790,1.1,7605,1.11
MDW,3663,1.07,4338,1.26,8001,1.16
MIA,3629,1.06,4092,1.19,7721,1.12
PDX,3571,1.04,3514,1.02,7085,1.03
BNA,3420,1.0,3431,1.0,6851,1.0
TPA,3419,1.0,3243,0.94,6662,0.97
STL,3345,0.97,3481,1.01,6826,0.99
DAL,3244,0.94,3685,1.07,6929,1.01
RDU,3076,0.9,3051,0.89,6127,0.89
SJC,2836,0.83,2884,0.84,5720,0.83
AUS,2818,0.82,2790,0.81,5608,0.82
HOU,2604,0.76,2871,0.84,5475,0.8
MSY,2504,0.73,2548,0.74,5052,0.74
SMF,2359,0.69,2202,0.64,4561,0.66
MCI,2289,0.67,2085,0.61,4374,0.64
OAK,2257,0.66,2437,0.71,4694,0.68
CLE,2240,0.65,2058,0.6,4298,0.63
HNL,2228,0.65,2128,0.62,4356,0.63
IND,2204,0.64,2065,0.6,4269,0.62
CVG,2138,0.62,2171,0.63,4309,0.63
CMH,2129,0.62,1958,0.57,4087,0.59
PIT,2087,0.61,1982,0.58,4069,0.59
SNA,1869,0.54,1695,0.49,3564,0.52
SAT,1824,0.53,1636,0.48,3460,0.5
MKE,1578,0.46,1451,0.42,3029,0.44
JAX,1573,0.46,1368,0.4,2941,0.43
SJU,1420,0.41,1198,0.35,2618,0.38
RSW,1415,0.41,1263,0.37,2678,0.39
BUR,1330,0.39,1264,0.37,2594,0.38
BDL,1306,0.38,1169,0.34,2475,0.36
ABQ,1285,0.37,1120,0.33,2405,0.35
BUF,1238,0.36,1089,0.32,2327,0.34
RIC,1233,0.36,1296,0.38,2529,0.37
OKC,1225,0.36,983,0.29,2208,0.32
ORF,1212,0.35,996,0.29,2208,0.32
SDF,1204,0.35,1175,0.34,2379,0.35
PBI,1186,0.35,1139,0.33,2325,0.34
OMA,1168,0.34,1149,0.33,2317,0.34
MEM,1159,0.34,1045,0.3,2204,0.32
RNO,1048,0.31,903,0.26,1951,0.28
ONT,1034,0.3,911,0.27,1945,0.28
CHS,1027,0.3,973,0.28,2000,0.29
BHM,1018,0.3,864,0.25,1882,0.27
OGG,1015,0.3,1107,0.32,2122,0.31
BOI,1005,0.29,916,0.27,1921,0.28
GRR,992,0.29,899,0.26,1891,0.28
ELP,974,0.28,729,0.21,1703,0.25
GEG,966,0.28,787,0.23,1753,0.26
TUS,959,0.28,666,0.19,1625,0.24
PVD,912,0.27,780,0.23,1692,0.25
TYS,897,0.26,783,0.23,1680,0.24
ROC,856,0.25,758,0.22,1614,0.23
TUL,843,0.25,772,0.22,1615,0.24
SAV,816,0.24,687,0.2,1503,0.22
GSP,798,0.23,700,0.2,1498,0.22
ALB,790,0.23,684,0.2,1474,0.21
GSO,783,0.23,639,0.19,1422,0.21
ANC,782,0.23,629,0.18,1411,0.21
DSM,779,0.23,699,0.2,1478,0.22
DAY,765,0.22,733,0.21,1498,0.22
SYR,730,0.21,681,0.2,1411,0.21
LGB,729,0.21,637,0.19,1366,0.2
PWM,687,0.2,671,0.2,1358,0.2
LIT,684,0.2,611,0.18,1295,0.19
XNA,663,0.19,628,0.18,1291,0.19
MSN,662,0.19,607,0.18,1269,0.18
HPN,605,0.18,544,0.16,1149,0.17
LIH,557,0.16,565,0.16,1122,0.16
BTV,555,0.16,513,0.15,1068,0.16
ICT,546,0.16,491,0.14,1037,0.15
MHT,534,0.16,404,0.12,938,0.14
COS,532,0.15,460,0.13,992,0.14
LEX,532,0.15,499,0.15,1031,0.15
PSP,529,0.15,454,0.13,983,0.14
SFB,515,0.15,500,0.15,1015,0.15
PNS,512,0.15,462,0.13,974,0.14
FAT,505,0.15,463,0.13,968,0.14
KOA,501,0.15,478,0.14,979,0.14
AVL,473,0.14,399,0.12,872,0.13
SGF,465,0.14,512,0.15,977,0.14
MYR,465,0.14,436,0.13,901,0.13
CHA,455,0.13,335,0.1,790,0.12
MAF,453,0.13,352,0.1,805,0.12
MDT,426,0.12,431,0.13,857,0.12
HSV,426,0.12,416,0.12,842,0.12
CAE,415,0.12,453,0.13,868,0.13
CID,408,0.12,433,0.13,841,0.12
CAK,397,0.12,362,0.11,759,0.11
RDM,385,0.11,386,0.11,771,0.11
VPS,379,0.11,304,0.09,683,0.1
ILM,379,0.11,300,0.09,679,0.1
JAN,371,0.11,375,0.11,746,0.11
MFR,366,0.11,378,0.11,744,0.11
FSD,358,0.1,387,0.11,745,0.11
CHO,349,0.1,311,0.09,660,0.1
EUG,349,0.1,405,0.12,754,0.11
FAR,341,0.1,306,0.09,647,0.09
ROA,334,0.1,293,0.09,627,0.09
BZN,333,0.1,300,0.09,633,0.09
FWA,331,0.1,305,0.09,636,0.09
SBN,328,0.1,317,0.09,645,0.09
ISP,320,0.09,251,0.07,571,0.08
LBB,318,0.09,290,0.08,608,0.09
SRQ,318,0.09,321,0.09,639,0.09
SBA,316,0.09,264,0.08,580,0.08
PIE,313,0.09,237,0.07,550,0.08
AZA,311,0.09,269,0.08,580,0.08
ASE,306,0.09,318,0.09,624,0.09
PSC,302,0.09,283,0.08,585,0.09
SHV,302,0.09,310,0.09,612,0.09
MOB,300,0.09,291,0.08,591,0.09
ATW,285,0.08,259,0.08,544,0.08
RAP,285,0.08,266,0.08,551,0.08
BTR,281,0.08,321,0.09,602,0.09
MLI,272,0.08,279,0.08,551,0.08
PIA,268,0.08,235,0.07,503,0.07
PGD,268,0.08,206,0.06,474,0.07
TLH,266,0.08,266,0.08,532,0.08
AMA,261,0.08,247,0.07,508,0.07
ECP,257,0.07,226,0.07,483,0.07
GRB,256,0.07,211,0.06,467,0.07
CRP,254,0.07,225,0.07,479,0.07
SBP,248,0.07,211,0.06,459,0.07
MSO,244,0.07,227,0.07,471,0.07
ITO,242,0.07,212,0.06,454,0.07
ABE,238,0.07,237,0.07,475,0.07
BGR,234,0.07,235,0.07,469,0.07
MFE,232,0.07,209,0.06,441,0.06
AVP,230,0.07,200,0.06,430,0.06
BIS,228,0.07,182,0.05,410,0.06
AGS,227,0.07,229,0.07,456,0.07
FNT,225,0.07,168,0.05,393,0.06
EVV,223,0.06,205,0.06,428,0.06
CRW,218,0.06,245,0.07,463,0.07
TVC,215,0.06,210,0.06,425,0.06
MGM,208,0.06,189,0.06,397,0.06
SCE,201,0.06,150,0.04,351,0.05
JAC,200,0.06,214,0.06,414,0.06
BIL,200,0.06,211,0.06,411,0.06
GPT,199,0.06,150,0.04,349,0.05
GNV,199,0.06,217,0.06,416,0.06
FCA,197,0.06,157,0.05,354,0.05
STS,192,0.06,164,0.05,356,0.05
FAY,191,0.06,193,0.06,384,0.06
EYW,188,0.05,186,0.05,374,0.05
DRO,186,0.05,179,0.05,365,0.05
MRY,186,0.05,166,0.05,352,0.05
COU,176,0.05,146,0.04,322,0.05
HRL,176,0.05,146,0.04,322,0.05
LFT,175,0.05,232,0.07,407,0.06
GJT,175,0.05,157,0.05,332,0.05
RST,173,0.05,174,0.05,347,0.05
FAI,171,0.05,126,0.04,297,0.04
PHF,163,0.05,137,0.04,300,0.04
LAN,162,0.05,166,0.05,328,0.05
GRK,151,0.04,134,0.04,285,0.04
TRI,149,0.04,175,0.05,324,0.05
OAJ,148,0.04,134,0.04,282,0.04
LNK,146,0.04,175,0.05,321,0.05
JNU,143,0.04,148,0.04,291,0.04
DAB,142,0.04,118,0.03,260,0.04
BMI,141,0.04,129,0.04,270,0.04
TTN,140,0.04,147,0.04,287,0.04
STT,137,0.04,104,0.03,241,0.04
AZO,136,0.04,159,0.05,295,0.04
BLI,133,0.04,139,0.04,272,0.04
CWA,132,0.04,118,0.03,250,0.04
MTJ,132,0.04,124,0.04,256,0.04
BRO,129,0.04,79,0.02,208,0.03
ITH,128,0.04,119,0.03,247,0.04
CMI,124,0.04,130,0.04,254,0.04
ACY,122,0.04,114,0.03,236,0.03
DLH,122,0.04,109,0.03,231,0.03
SWF,121,0.04,142,0.04,263,0.04
MLU,120,0.03,114,0.03,234,0.03
SGU,120,0.03,120,0.03,240,0.03
EWN,119,0.03,84,0.02,203,0.03
PAE,119,0.03,120,0.03,239,0.03
BQN,116,0.03,112,0.03,228,0.03
FSM,115,0.03,80,0.02,195,0.03
SAF,114,0.03,101,0.03,215,0.03
LRD,113,0.03,86,0.03,199,0.03
AEX,113,0.03,127,0.04,240,0.03
EGE,112,0.03,107,0.03,219,0.03
GTF,110,0.03,129,0.04,239,0.03
HLN,106,0.03,84,0.02,190,0.03
IDA,106,0.03,107,0.03,213,0.03
MOT,104,0.03,90,0.03,194,0.03
BFL,103,0.03,86,0.03,189,0.03
LYH,103,0.03,93,0.03,196,0.03
TOL,101,0.03,70,0.02,171,0.02
ABI,99,0.03,93,0.03,192,0.03
ERI,99,0.03,104,0.03,203,0.03
CLL,96,0.03,69,0.02,165,0.02
MBS,96,0.03,94,0.03,190,0.03
LNY,95,0.03,97,0.03,192,0.03
SPI,92,0.03,78,0.02,170,0.02
ELM,92,0.03,80,0.02,172,0.03
HHH,87,0.03,61,0.02,148,0.02
HDN,86,0.03,65,0.02,151,0.02
MLB,82,0.02,92,0.03,174,0.03
MHK,81,0.02,75,0.02,156,0.02
SBY,81,0.02,79,0.02,160,0.02
LCH,79,0.02,75,0.02,154,0.02
LSE,78,0.02,77,0.02,155,0.02
KTN,73,0.02,77,0.02,150,0.02
MQT,72,0.02,67,0.02,139,0.02
SUX,72,0.02,67,0.02,139,0.02
ACT,71,0.02,65,0.02,136,0.02
FLG,71,0.02,55,0.02,126,0.02
ACV,70,0.02,80,0.02,150,0.02
HTS,69,0.02,49,0.01,118,0.02
ORH,69,0.02,73,0.02,142,0.02
SJT,69,0.02,59,0.02,128,0.02
CPR,69,0.02,88,0.03,157,0.02
YUM,68,0.02,43,0.01,111,0.02
MKK,66,0.02,87,0.03,153,0.02
SUN,62,0.02,63,0.02,125,0.02
PGV,62,0.02,67,0.02,129,0.02
RDD,62,0.02,61,0.02,123,0.02
ACK,61,0.02,61,0.02,122,0.02
DUT,61,0.02,36,0.01,97,0.01
GFK,61,0.02,68,0.02,129,0.02
YKM,59,0.02,57,0.02,116,0.02
TYR,59,0.02,63,0.02,122,0.02
FLO,58,0.02,55,0.02,113,0.02
DHN,58,0.02,58,0.02,116,0.02
ISN,58,0.02,59,0.02,117,0.02
DBQ,56,0.02,42,0.01,98,0.01
PUW,56,0.02,63,0.02,119,0.02
LCK,56,0.02,57,0.02,113,0.02
SPS,52,0.02,45,0.01,97,0.01
USA,52,0.02,52,0.02,104,0.02
EAT,51,0.01,75,0.02,126,0.02
LAW,51,0.01,61,0.02,112,0.02
COD,51,0.01,51,0.01,102,0.01
LBE,50,0.01,29,0.01,79,0.01
SIT,50,0.01,26,0.01,76,0.01
SLN,49,0.01,38,0.01,87,0.01
TXK,48,0.01,43,0.01,91,0.01
BLV,48,0.01,66,0.02,114,0.02
GTR,47,0.01,48,0.01,95,0.01
PIH,47,0.01,28,0.01,75,0.01
CSG,46,0.01,57,0.02,103,0.01
JLN,46,0.01,51,0.01,97,0.01
GUM,46,0.01,41,0.01,87,0.01
PSE,46,0.01,35,0.01,81,0.01
ALW,45,0.01,42,0.01,87,0.01
SHD,45,0.01,29,0.01,74,0.01
BPT,45,0.01,30,0.01,75,0.01
STX,44,0.01,20,0.01,64,0.01
ROW,44,0.01,44,0.01,88,0.01
SCK,44,0.01,64,0.02,108,0.02
MEI,44,0.01,38,0.01,82,0.01
UIN,43,0.01,34,0.01,77,0.01
GUC,43,0.01,45,0.01,88,0.01
ABY,43,0.01,41,0.01,84,0.01
HVN,42,0.01,29,0.01,71,0.01
HYS,41,0.01,49,0.01,90,0.01
WRG,39,0.01,14,0.0,53,0.01
CKB,39,0.01,32,0.01,71,0.01
CDC,39,0.01,21,0.01,60,0.01
PAH,39,0.01,49,0.01,88,0.01
LWB,38,0.01,30,0.01,68,0.01
SWO,38,0.01,31,0.01,69,0.01
CDV,38,0.01,25,0.01,63,0.01
EAU,38,0.01,27,0.01,65,0.01
PBG,38,0.01,53,0.02,91,0.01
BGM,37,0.01,42,0.01,79,0.01
TWF,36,0.01,49,0.01,85,0.01
ALO,35,0.01,26,0.01,61,0.01
MMH,33,0.01,29,0.01,62,0.01
GRI,32,0.01,56,0.02,88,0.01
PSG,32,0.01,32,0.01,64,0.01
CGI,31,0.01,26,0.01,57,0.01
GGG,30,0.01,42,0.01,72,0.01
HOB,30,0.01,24,0.01,54,0.01
VLD,30,0.01,31,0.01,61,0.01
JMS,29,0.01,31,0.01,60,0.01
CMX,29,0.01,26,0.01,55,0.01
ART,29,0.01,27,0.01,56,0.01
LAR,29,0.01,15,0.0,44,0.01
PIB,29,0.01,19,0.01,48,0.01
LWS,28,0.01,31,0.01,59,0.01
MKG,27,0.01,27,0.01,54,0.01
IPT,27,0.01,19,0.01,46,0.01
SPN,27,0.01,25,0.01,52,0.01
SCC,27,0.01,22,0.01,49,0.01
ADQ,27,0.01,29,0.01,56,0.01
PUB,27,0.01,44,0.01,71,0.01
DIK,27,0.01,28,0.01,55,0.01
BQK,27,0.01,28,0.01,55,0.01
GCK,26,0.01,25,0.01,51,0.01
YAK,26,0.01,26,0.01,52,0.01
JHM,26,0.01,33,0.01,59,0.01
RKS,25,0.01,20,0.01,45,0.01
PLN,25,0.01,33,0.01,58,0.01
GCC,25,0.01,29,0.01,54,0.01
MVY,25,0.01,30,0.01,55,0.01
RFD,25,0.01,37,0.01,62,0.01
ABR,25,0.01,27,0.01,52,0.01
LBL,24,0.01,16,0.0,40,0.01
EAR,24,0.01,10,0.0,34,0.0
PQI,23,0.01,28,0.01,51,0.01
BFF,23,0.01,18,0.01,41,0.01
PRC,23,0.01,34,0.01,57,0.01
EKO,22,0.01,14,0.0,36,0.01
RHI,22,0.01,20,0.01,42,0.01
PVU,21,0.01,26,0.01,47,0.01
ESC,21,0.01,20,0.01,41,0.01
VEL,21,0.01,14,0.0,35,0.01
OME,20,0.01,18,0.01,38,0.01
OTH,19,0.01,25,0.01,44,0.01
IAG,19,0.01,45,0.01,64,0.01
CIU,18,0.01,31,0.01,49,0.01
DVL,18,0.01,22,0.01,40,0.01
OTZ,18,0.01,25,0.01,43,0.01
BTM,18,0.01,22,0.01,40,0.01
DRT,18,0.01,11,0.0,29,0.0
BET,17,0.0,32,0.01,49,0.01
CNY,17,0.0,24,0.01,41,0.01
BRW,16,0.0,18,0.01,34,0.0
BJI,16,0.0,14,0.0,30,0.0
INL,15,0.0,14,0.0,29,0.0
IMT,15,0.0,26,0.01,41,0.01
APN,15,0.0,27,0.01,42,0.01
PSM,15,0.0,22,0.01,37,0.01
OGS,14,0.0,13,0.0,27,0.0
PIR,11,0.0,11,0.0,22,0.0
BRD,11,0.0,19,0.01,30,0.0
BKG,10,0.0,5,0.0,15,0.0
LBF,10,0.0,18,0.01,28,0.0
HIB,10,0.0,19,0.01,29,0.0
OWB,9,0.0,8,0.0,17,0.0
SMX,8,0.0,9,0.0,17,0.0
WYS,8,0.0,15,0.0,23,0.0
CYS,8,0.0,14,0.0,22,0.0
XWA,7,0.0,3,0.0,10,0.0
DLG,7,0.0,3,0.0,10,0.0
PPG,7,0.0,6,0.0,13,0.0
ATY,7,0.0,7,0.0,14,0.0
HGR,7,0.0,8,0.0,15,0.0
ADK,5,0.0,9,0.0,14,0.0
BFM,5,0.0,5,0.0,10,0.0
STC,5,0.0,8,0.0,13,0.0
ROP,4,0.0,1,0.0,5,0.0
OGD,4,0.0,12,0.0,16,0.0
HYA,3,0.0,5,0.0,8,0.0
AKN,2,0.0,3,0.0,5,0.0
GST,2,0.0,3,0.0,5,0.0
IFP,1,0.0,1,0.0,2,0.0
